name,overview,tools_materials,harvest_method,care_tips,sickness_solution,limited_land_tip,harvest_day
0,Padi,Padi (Oryza sativa) adalah tanaman serealia utama yang dibudidayakan untuk menghasilkan beras.,"Benih padi unggul, pupuk NPK, cangkul, air, semprotan pestisida.",Panen dilakukan saat bulir padi menguning 90–95% dan dipotong menggunakan sabit.,"Irigasi teratur, pengendalian gulma, dan pemupukan fase vegetatif dan generatif.","Gunakan fungisida untuk penyakit blast, dan insektisida untuk hama wereng.",Tanam dalam pot besar atau sistem hidroponik padi.,100
1,Jagung,Jagung (Zea mays) adalah tanaman pangan penting sebagai sumber karbohidrat kedua setelah padi.,"Benih jagung hibrida, pupuk kompos/NPK, cangkul, alat semprot.","Panen dilakukan saat tongkol mengering, daun pelindung cokelat dan keras.","Pemupukan awal dan susulan, irigasi tepat, dan rotasi tanaman.","Gunakan pestisida untuk ulat grayak, dan fungisida untuk bulai.",Gunakan drum bekas atau karung vertikal untuk menanam.,100
2,Kacang Arab,"Kacang arab (Cicer arietinum) adalah sumber protein tinggi, dikenal juga sebagai chickpea.","Benih kacang arab, pupuk fosfat, tanah berpasir, alat garap ringan.",Panen saat polong menguning dan mengering secara alami.,"Tanah kering, tidak terlalu lembap, pemupukan terbatas, tahan kekeringan.",Gunakan fungisida untuk penyakit akar dan virus mosaik.,Cocok untuk pot atau planter box dalam iklim hangat dan kering.,120
3,Kacang Merah,Kacang merah (Phaseolus vulgaris) adalah legum yang banyak digunakan sebagai bahan makanan tinggi protein.,"Benih kacang merah, pupuk kandang, ajir untuk rambatan.",Panen saat polong mengering dan mengeras di pohon.,"Penyiraman ringan, pemangkasan daun tua, dan sinar matahari penuh.",Tangani dengan fungisida dan hindari kelembapan berlebih untuk mencegah antraknosa.,Tanam di pot besar dengan penyangga atau sistem vertikal.,110
4,Kacang Gude,"Kacang gude (Cajanus cajan) adalah tanaman polong kaya protein, tahan kering, dan populer di wilayah tropis.","Benih kacang gude, pupuk organik, tanah gembur, sekop kecil.",Panen saat polong berubah warna kecoklatan dan terasa keras.,"Minim perawatan, butuh sinar penuh dan tanah tak tergenang air.",Gunakan insektisida ringan untuk ulat dan periksa daun secara berkala.,Bisa ditanam dalam pot besar di teras atau balkon dengan sinar matahari cukup.,120
5,Kacang Moth,Kacang moth (Vigna aconitifolia) adalah legum tahan kering yang banyak dibudidayakan di India dan Asia Selatan.,"Benih kacang moth, tanah berpasir, pupuk organik.",Panen saat polong mengering dan biji keras.,"Toleran kekeringan, cukup sinar matahari, sedikit pemupukan.","Gunakan fungisida bila terkena embun tepung, hindari genangan air.",Dapat ditanam di pot dalam iklim panas dan kering.,75
6,Kacang Hijau,Kacang hijau (Vigna radiata) adalah legum kecil yang digunakan sebagai bahan makanan dan kecambah.,"Benih kacang hijau, pupuk kompos, alat semai.",Panen saat polong menghitam dan biji mengeras.,"Irigasi ringan, pemupukan seimbang, sinar matahari penuh.",Obati karat daun dengan fungisida dan rotasi tanaman.,Cocok ditanam dalam pot atau planter box.,65
7,Kacang Hitam,Kacang hitam (Phaseolus vulgaris var. black) merupakan varietas kacang yang kaya protein dan antioksidan.,"Benih kacang hitam, ajir, pupuk kandang.",Panen setelah polong mengering dan biji keras.,"Penyiraman rutin, dukungan rambat, pengendalian hama daun.",Gunakan insektisida alami untuk kutu daun.,Tanam di pot dengan penyangga di balkon terbuka.,90
8,Kacang Lentil,Lentil (Lens culinaris) adalah tanaman legum kecil yang kaya zat besi dan serat.,"Benih lentil, tanah lempung berpasir, pupuk ringan.",Panen saat 50% polong matang dan mengering.,"Siram secukupnya, tahan kekeringan, hindari tanah asam.",Fungisida untuk jamur dan rotasi tanaman penting.,Cocok ditanam dalam pot besar di tempat panas dan kering.,110
9,Delima,Delima (Punica granatum) adalah buah tropis dengan biji merah kaya antioksidan.,"Bibit delima, kompos, sekop kecil, air.",Panen saat kulit buah mengkilap dan berbunyi nyaring saat diketuk.,"Siram teratur, pemangkasan, dan sinar matahari penuh.",Obati bercak daun dan ulat dengan pestisida organik.,"Tanam dalam pot besar, cocok untuk taman kecil.",180
10,Pisang,Pisang (Musa spp.) adalah tanaman buah tropis penghasil buah kaya kalium.,"Anakan pisang, pupuk kandang, tanah subur.",Panen saat buah menguning dan ukuran maksimal.,"Pemupukan teratur, hindari genangan air, penjarangan anakan.",Fusarium ditangani dengan varietas tahan dan rotasi lahan.,Tanam dalam drum besar atau planter fiber.,270
11,Mangga,Mangga (Mangifera indica) adalah buah tropis manis dengan banyak varietas unggul.,"Bibit okulasi, pupuk kompos, cangkul.",Panen saat buah berubah warna dan lunak sedikit.,"Penyiraman teratur, pemupukan 3 bulan sekali, pemangkasan tajuk.",Obati dengan pestisida sistemik untuk hama lalat buah.,Gunakan pot besar atau sistem tabulampot (tanaman buah dalam pot).,180
12,Anggur,Anggur (Vitis vinifera) adalah tanaman buah merambat dengan buah dalam tandan.,"Bibit anggur, ajir kawat, pupuk organik.",Panen saat buah empuk dan warna merata.,"Cahaya penuh, pemangkasan rutin, pemupukan NPK seimbang.",Obati embun tepung dan kutu putih dengan fungisida dan sabun insektisida.,Gunakan pot panjang dengan ajir dan sinar cukup.,150
13,Semangka,Semangka (Citrullus lanatus) adalah buah tropis berair dan manis dari keluarga labu-labuan.,"Benih semangka, tanah gembur, pupuk kandang.",Panen saat buah berbunyi nyaring dan sulur dekat batang mengering.,"Cukup sinar matahari, pemangkasan cabang tidak produktif.",Tangani antraknosa dan virus dengan rotasi dan fungisida.,Tanam dalam karung bekas atau bedeng vertikal.,90
14,Melon,Melon (Cucumis melo) adalah buah manis dan berair yang tumbuh menjalar.,"Benih melon, ajir tali, pupuk NPK.",Panen saat buah harum dan tangkai mudah lepas.,"Penjarangan buah, pemupukan teratur, pengairan drip.",Gunakan fungisida untuk embun bulu dan kutu daun.,Tanam dalam pot besar dengan sistem rambat vertikal.,80
15,Apel,Apel (Malus domestica) adalah buah dari daerah subtropis dengan banyak varietas kultivar.,"Bibit okulasi, tanah netral, pupuk kompos.","Panen saat buah besar, warna penuh, dan mudah lepas dari tangkai.","Suhu sejuk, sinar penuh, pemangkasan rutin.",Gunakan pestisida alami untuk codling moth dan bercak daun.,Tanam varietas kerdil di pot besar (dwarf apple).,150
16,Jeruk,Jeruk (Citrus sinensis) adalah buah sitrus manis yang kaya vitamin C.,"Bibit jeruk, kompos, tanah lempung berpasir.",Panen saat kulit mengkilap dan warna merata.,"Siram teratur, pangkas cabang sakit, pupuk 3 bulan sekali.",Obati kutu putih dan ulat dengan insektisida alami.,Gunakan sistem tabulampot (pot besar).,210
17,Pepaya,Pepaya (Carica papaya) adalah tanaman buah tropis tinggi yang mudah tumbuh.,"Benih pepaya, pupuk kandang, tanah subur.",Panen saat buah menguning sebagian dan lunak.,"Siram rutin, hindari air berlebih, beri sinar penuh.",Virus daun menggulung ditangani dengan rotasi dan sanitasi lahan.,Tanam di drum besar dan beri penyangga.,150
18,Kelapa,Kelapa (Cocos nucifera) adalah tanaman serbaguna dari pantai tropis.,"Bibit kelapa, tanah pasir-lempung, pupuk organik.","Panen 8–12 bulan setelah pembungaan, saat buah tua dan serabut cokelat.","Penyiraman cukup, pemupukan 6 bulan sekali, sinar matahari penuh.",Obati kumbang badak dengan perangkap dan sanitasi.,Tabulampot kelapa genjah dalam pot besar.,360
19,Kapas,Kapas (Gossypium spp.) adalah tanaman serat utama dunia untuk bahan tekstil.,"Benih kapas, pupuk NPK, tanah kering, alat cabut gulma.",Panen saat boll (buah kapas) pecah dan serat putih terlihat.,"Pemangkasan tunas liar, irigasi terbatas, sinar matahari penuh.",Obati hama bollworm dengan insektisida selektif.,Tanam dalam pot besar dengan drainase baik.,160
20,Goni,Goni (Corchorus capsularis) adalah tanaman penghasil serat alami (jute).,"Benih goni, tanah lembab, pupuk nitrogen tinggi.","Panen sebelum berbunga, batang direndam lalu dikuliti seratnya.","Siram teratur, lahan lembap, pengendalian gulma penting.",Obati busuk batang dengan fungisida dan drainase baik.,Tanam dalam pot tinggi dan dalam untuk serat optimal.,120
21,Kopi,Kopi (Coffea arabica/robusta) adalah tanaman industri penghasil biji kopi.,"Bibit kopi, naungan, pupuk kompos.",Panen saat buah merah penuh dan manis.,"Suhu sejuk, tanah subur, lindungi dari sinar langsung.",Obati karat daun dengan fungisida dan pruning.,Tanam dalam pot besar di tempat teduh dan lembap.,270
